"логин";"Договор";"Номер договора";"Текущий статус";"Текущий статус1";"Тарифный план";"Тип договора";"Подключение id"
"15SAR01975";"1039536";"131700346";"Приостановлен системой";" 2";"Ф/Л Саранск 'Пакет_ТТК-Мечтай+ТВ ФА2015', 30Мб/с, 650(400/250) руб.";"ФЛ";"2505809"
"15SAR01976";"1039537";"131700347";"Приостановлен системой";" 2";"Ф/Л Саранск  'ТТК-Мечтай ФА2015', 30Мб, 400 руб.";"ФЛ";"2505811"
"15SAR01978";"1039549";"131700377";"Приостановлен системой";" 2";"Ф/Л Саранск  'ТТК-Мечтай', 30Мб, 400 руб.";"ФЛ";"2505885"
"15SAR01979";"1039552";"131700381";"Активен";" 0";"Ф/Л Саранск 'ТТК-Летай', 100Мб, 700 руб.";"ФЛ";"2505904"
"15SAR01980";"1039553";"131700383";"Активен";" 0";"Ф/Л Саранск  'ТТК-Мечтай', 30Мб, 400 руб.";"ФЛ";"2505887"
"15SAR01981";"1039554";"131700386";"Активен";" 0";"Ф/Л Саранск  'ТТК-Мечтай ФА2015', 30Мб, 400 руб.";"ФЛ";"2505889"
"15SAR01982";"1039555";"131700389";"Активен";" 0";"Ф/Л Саранск  'ТТК-Мечтай', 30Мб, 400 руб.";"ФЛ";"2505891"
"15SAR01983";"1039557";"131700391";"Активен";" 0";"Ф/Л Саранск 'ТТК-Качай', 60Мб, 500 руб.";"ФЛ";"2505893"
"15SAR01985";"1039562";"131700401";"Активен";" 0";"Ф/Л Саранск  'ТТК-Мечтай', 30Мб, 400 руб.";"ФЛ";"2505898"
"15SAR01986";"1039563";"131700413";"Активен";" 0";"Ф/Л Саранск 'ТТК-Летай', 100Мб, 700 руб.";"ФЛ";"2505900"
"15SAR01987";"1039564";"131700415";"Активен";" 0";"Ф/Л Саранск 'ТТК-Качай', 60Мб, 500 руб.";"ФЛ";"2505902"
"15SAR01988";"1039566";"131700422";"Активен";" 0";"Ф/Л Саранск  'ТТК-Мечтай', 30Мб, 400 руб.";"ФЛ";"2505906"
"15SAR01989";"1039567";"131700425";"Активен";" 0";"Ф/Л Саранск 'ТТК-Качай', 60Мб, 500 руб.";"ФЛ";"2505923"
"15SAR01990";"1039568";"131700427";"Закрыт";" 4";"Ф/Л Саранск 'ТТК-Летай', 100Мб, 700 руб.";"ФЛ";"2505857"
"15SAR01991";"1039571";"131700432";"Активен";" 0";"Ф/Л Саранск  'ТТК-Мечтай', 30Мб, 400 руб.";"ФЛ";"2505909"
"15SAR01992";"1039572";"131700433";"Закрыт";" 4";"Ф/Л Саранск  'ТТК-Мечтай', 30Мб, 400 руб.";"ФЛ";"2505911"
"15SAR01993";"1039574";"131700436";"Активен";" 0";"Ф/Л Саранск 'ТТК-Качай', 60Мб, 500 руб.";"ФЛ";"2505913"
"15SAR01994";"1039575";"131700437";"Активен";" 0";"Ф/Л Саранск 'ТТК-Качай', 60Мб, 500 руб.";"ФЛ";"2505915"
"15SAR01995";"1039576";"131700438";"Активен";" 0";"Ф/Л Саранск  'ТТК-Мечтай', 30Мб, 400 руб.";"ФЛ";"2505917"
"15SAR01996";"1039585";"131700469";"Активен";" 0";"Ф/Л Саранск 'ТТК-Летай', 100Мб, 700 руб.";"ФЛ";"2505921"
"15SAR01997";"1039587";"131700471";"Активен";" 0";"Ф/Л Саранск 'ТТК-Летай', 100Мб, 700 руб.";"ФЛ";"2505919"
"15SAR01998";"1039592";"131700510";"Активен";" 0";"Ф/Л Саранск 'ТТК-Летай', 100Мб, 700 руб.";"ФЛ";"2505996"
"15SAR01999";"1039593";"131700511";"Активен";" 0";"Ф/Л Саранск  'ТТК-Мечтай ФА2015', 30Мб, 400 руб.";"ФЛ";"2505998"
"15SAR02000";"1039594";"131700767";"Активен";" 0";"Ф/Л Саранск  'ТТК-Мечтай', 30Мб, 400 руб.";"ФЛ";"2506000"
"15SAR02001";"1039595";"131700768";"Приостановлен системой";" 2";"Ф/Л Саранск 'ТТК-Качай', 60Мб, 500 руб.";"ФЛ";"2506002"
"15SAR02002";"1039596";"131700769";"Приостановлен системой";" 2";"Ф/Л Саранск 'ТТК-Качай', 60Мб, 500 руб.";"ФЛ";"2506004"
"15SAR02003";"1039597";"131700770";"Активен";" 0";"Ф/Л Саранск 'ТТК-Качай', 60Мб, 500 руб.";"ФЛ";"2506006"
"15SAR02004";"1039600";"131700785";"Активен";" 0";"Ф/Л Саранск 'ТТК-Качай', 60Мб, 500 руб.";"ФЛ";"2506008"
"15SAR02005";"1039601";"131700788";"Активен";" 0";"Ф/Л Саранск 'ТТК-Летай', 100Мб, 700 руб.";"ФЛ";"2506010"
"15SAR02007";"1039602";"131700792";"Приостановлен оператором";" 3";"Ф/Л Саранск 'Качай+ТВ_ФА2015', 60Мб, 101 канал, 750(500/250)";"ФЛ";"2506014"
"15SAR02008";"1039603";"131700793";"Активен";" 0";"Ф/Л Саранск  'ТТК-Мечтай ФА2015', 30Мб, 400 руб.";"ФЛ";"2506017"
"15SAR02009";"1039604";"131700794";"Приостановлен системой";" 2";"Ф/Л Саранск 'ТТК-Качай', 60Мб, 500 руб.";"ФЛ";"2506020"
"15SAR02010";"1039605";"131700795";"Активен";" 0";"Ф/Л Саранск  'ТТК-Мечтай', 30Мб, 400 руб.";"ФЛ";"2506022"
"15SAR01618";"1038541";"131696181";"Активен";" 0";"Ф/Л Саранск 'ТТК-Качай', 60Мб, 500 руб.";"ФЛ";"2503179"
"15SAR01619";"1038542";"131696184";"Приостановлен системой";" 2";"Ф/Л Саранск  'ТТК-Мечтай', 30Мб, 400 руб.";"ФЛ";"2503177"
"15SAR01620";"1038543";"131696186";"Активен";" 0";"Ф/Л Саранск 'ТТК-Качай_ФА2015' 60Мб, 500 руб. ";"ФЛ";"2503185"
"15SAR01621";"1038544";"131696188";"Приостановлен системой";" 2";"Ф/Л Саранск  'ТТК-Мечтай', 30Мб, 400 руб.";"ФЛ";"2503174"
"15SAR01622";"1038545";"131696190";"Активен";" 0";"Ф/Л Саранск 'ТТК-Качай', 60Мб, 500 руб.";"ФЛ";"2503172"
"15SAR01625";"1038550";"131696199";"Активен";" 0";"Ф/Л Саранск 'ТТК-Качай', 60Мб, 500 руб.";"ФЛ";"2503170"
"15SAR01626";"1038556";"131696211";"Приостановлен оператором";" 3";"Ф/Л Саранск  'ТТК-Мечтай', 30Мб, 400 руб.";"ФЛ";"2503168"
"15SAR01627";"1038558";"131696220";"Активен";" 0";"Ф/Л Саранск  'ТТК-Мечтай ФА2015', 30Мб, 400 руб.";"ФЛ";"2503166"
"15SAR01628";"1038559";"131696223";"Приостановлен системой";" 2";"Ф/Л Саранск  'ТТК-Мечтай', 30Мб, 400 руб.";"ФЛ";"2503235"
"15SAR01629";"1038560";"131696224";"Активен";" 0";"Ф/Л Саранск  'ТТК-Мечтай', 30Мб, 400 руб.";"ФЛ";"2503228"
"15SAR01630";"1038561";"131696225";"Активен";" 0";"Ф/Л Саранск 'ТТК-Летай', 100Мб, 700 руб.";"ФЛ";"2503233"
"ttk131696228";"1038562";"131696228";"Активен";" 0";"Ф/Л Саранск 'ТТК-Качай', 60Мб, 500 руб.";"ФЛ";"2503227"
"15SAR01632";"1038563";"131696229";"Активен";" 0";"Ф/Л Саранск  'ТТК-Мечтай', 30Мб, 400 руб.";"ФЛ";"2503230"
"15SAR01635";"1038565";"131696234";"Активен";" 0";"Ф/Л Саранск 'ТТК-Качай', 60Мб, 500 руб.";"ФЛ";"2503225"
"15SAR01637";"1038576";"131696266";"Активен";" 0";"Ф/Л Саранск  'ТТК-Мечтай', 30Мб, 400 руб.";"ФЛ";"2503320"
"15SAR01638";"1038577";"131696267";"Активен";" 0";"Ф/Л Саранск 'ТТК-Летай', 100Мб, 700 руб.";"ФЛ";"2503318"
"15SAR01641";"1038581";"131696275";"Активен";" 0";"Ф/Л Саранск  'ТТК-Мечтай', 30Мб, 400 руб.";"ФЛ";"2503316"
"15SAR01643";"1038582";"131696293";"Активен";" 0";"Ф/Л Саранск  'ТТК-Мечтай', 30Мб, 400 руб.";"ФЛ";"2503314"
"15SAR01644";"1038585";"131696318";"Активен";" 0";"Ф/Л Саранск 'ТТК-Качай', 60Мб, 500 руб.";"ФЛ";"2503310"
"15SAR01645";"1038586";"131696319";"Активен";" 0";"Ф/Л Саранск 'ТТК-Качай', 60Мб, 500 руб.";"ФЛ";"2503308"
"15SAR01646";"1038587";"131696321";"Активен";" 0";"Ф/Л Саранск 'ТТК-Качай', 60Мб, 500 руб.";"ФЛ";"2503306"
"15SAR01647";"1038588";"131696322";"Активен";" 0";"Ф/Л Саранск 'ТТК-Качай', 60Мб, 500 руб.";"ФЛ";"2503304"
"15SAR01648";"1038590";"131696325";"Активен";" 0";"Ф/Л Саранск  'ТТК-Мечтай', 30Мб, 400 руб.";"ФЛ";"2503302"
"15SAR01649";"1038593";"131696328";"Активен";" 0";"Ф/Л Саранск 'ТТК-Качай', 60Мб, 500 руб.";"ФЛ";"2503280"
"15SAR01650";"1038594";"131696329";"Активен";" 0";"Ф/Л Саранск  'ТТК-Мечтай', 30Мб, 400 руб.";"ФЛ";"2503322"
"15SAR01651";"1038595";"131696330";"Активен";" 0";"Ф/Л Саранск 'ТТК-Качай', 60Мб, 500 руб.";"ФЛ";"2503312"
"15SAR01652";"1038596";"131696331";"Закрыт";" 4";"Ф/Л Саранск  'ТТК-Мечтай', 30Мб, 400 руб.";"ФЛ";"2503300"
"15SAR01653";"1038598";"131696332";"Активен";" 0";"Ф/Л Саранск  'ТТК-Мечтай', 30Мб, 400 руб.";"ФЛ";"2503298"
"15SAR01654";"1038599";"131696334";"Приостановлен системой";" 2";"Ф/Л Саранск  'ТТК-Мечтай', 30Мб, 400 руб.";"ФЛ";"2503296"
"15SAR01655";"1038600";"131696335";"Приостановлен системой";" 2";"Ф/Л Саранск 'ТТК-Качай', 60Мб, 500 руб.";"ФЛ";"2503290"
"15SAR01656";"1038601";"131696337";"Активен";" 0";"Ф/Л Саранск  'ТТК-Мечтай', 30Мб, 400 руб.";"ФЛ";"2503294"
